hidden_dims,activation,dropout_rate,lr,weight_decay,val_mse
"[256, 128, 64]",leaky_relu,0.012629,0.000817,0.002267,0.266311
"[256, 128, 64]",relu,0.158158,0.001641,3.2e-05,0.2688
"[256, 128, 64]",leaky_relu,0.341642,0.001593,0.001331,0.279573
"[256, 128, 64]",leaky_relu,0.022749,0.002336,0.000209,0.281652
"[256, 128, 64]",leaky_relu,0.080803,0.000521,2.2e-05,0.283054
"[256, 128, 64]",leaky_relu,0.065537,0.000407,2e-05,0.291697
"[64, 32]",relu,0.117363,0.002592,0.001538,0.292283
"[256, 128, 64, 32]",relu,0.250979,0.000365,0.000425,0.294021
"[256, 128, 64, 32]",leaky_relu,0.272801,0.000599,6.5e-05,0.295397
"[128, 64, 32]",relu,0.424696,0.001674,2.6e-05,0.308008
